A,B,name,y
0.3203542854046008,0.7611190399812747,100% Bran,0
-0.0392243847215023,0.6483105836543631,100% Natural Bran,0
0.8216151143361163,-0.2500141442705604,All-Bran,1
1.0274429864598695,0.0911169307411847,All-Bran with Extra Fiber,1
-0.0973161939364811,0.1799821690416246,Almond Delight,0
-0.7973355176765654,-0.2226810334993106,Apple Cinnamon Cheerios,2
0.5703125559842186,-0.5340221438889945,Apple Jacks,1
-0.7647928605643157,-0.2817706919782834,Basic 4,2
0.03522861891646,0.3096588666263425,Bran Chex,0
0.1299801829455172,0.4174478948487201,Bran Flakes,0
-0.1573904313666745,0.2182608856274978,Cap'n'Crunch,0
-0.6895102152306057,-0.0890998160538208,Cheerios,2
-0.8863336828683082,-0.3095349810753545,Cinnamon Toast Crunch,2
-0.7034304626973742,-0.0799720004545371,Clusters,2
-0.8481370407218493,-0.3297320962938093,Cocoa Puffs,2
-0.0493289159078289,0.1688629837346763,Corn Chex,0
0.6117057041322809,-0.4732317065349301,Corn Flakes,1
0.5791806400708119,-0.4811368707837958,Corn Pops,1
-0.8465758689663928,-0.3296613442642924,Count Chocula,2
0.6404604722684838,-0.3467277912884837,Cracklin' Oat Bran,1
0.2161319884595076,0.9058075840777752,Cream of Wheat (Quick),0
0.6253989715247701,-0.4345947072485455,Crispix,1
-0.7248106521469756,-0.1438974654733339,Crispy Wheat & Raisins,2
0.0154870847485076,0.2788104732117282,Double Chex,0
0.5492961434575957,-0.5190567576360497,Froot Loops,1
0.5524863647627841,-0.5791938513882287,Frosted Flakes,1
0.7666505726633491,-0.1773141775340831,Frosted Mini-Wheats,1
0.0312453026464293,0.2677478793333581,Fruit & Fibre Dates; Walnuts; and Oats,0
0.6541111766269279,-0.6082514572182158,Fruitful Bran,1
-0.0839671354012317,0.2010990860687896,Fruity Pebbles,0
-0.0111373487659697,0.2936319867564834,Golden Crisp,0
-0.8474956248092848,-0.3595571320193337,Golden Grahams,2
0.0708767062542212,0.4361054207374532,Grape Nuts Flakes,0
0.1271524342686543,0.4435379693480186,Grape-Nuts,0
0.0577371501039934,0.4966278632456799,Great Grains Pecan,0
-0.1472942558186356,0.2420396024572099,Honey Graham Ohs,0
-0.7721200109062684,-0.2738062216776511,Honey Nut Cheerios,2
-0.0961670261464302,0.1527862006426507,Honey-comb,0
0.5618524807106573,-0.6260288168886678,Just Right Crunchy  Nuggets,1
0.5744865861850571,-0.7478008987880926,Just Right Fruit & Nut,1
-0.8003903242014445,-0.2246960347495455,Kix,2
0.0502178552953342,0.5612733727592759,Life,0
-0.8175880302117449,-0.2858002977079589,Lucky Charms,2
0.1375986597256659,0.6018020933490247,Maypo,0
-0.0449552027116268,0.2176679537767996,Muesli Raisins; Dates; & Almonds,0
-0.0698170002030011,0.1548585033893285,Muesli Raisins; Peaches; & Pecans,0
0.5637670551938432,-0.6738180290388268,Mueslix Crispy Blend,1
-0.7423602660876145,-0.1686215187360711,Multi-Grain Cheerios,2
0.5502906816203321,-0.5415853578449211,Nut&Honey Crunch,1
0.5978290665518085,-0.571035177728141,Nutri-Grain Almond-Raisin,1
0.7313367333276914,-0.2616785495855112,Nutri-grain Wheat,1
-0.7616418409836739,-0.2591901814008934,Oatmeal Raisin Crisp,2
0.0354773185526854,0.1517882651562086,Post Nat. Raisin Bran,0
0.5808278141527211,-0.6897443225896969,Product 19,1
0.1487430082156816,0.9895062407825328,Puffed Rice,0
0.1860426761637499,1.0285896111318629,Puffed Wheat,0
0.100570584221858,0.5880081509217312,Quaker Oat Squares,0
0.2095207992940377,1.1127028931784482,Quaker Oatmeal,0
0.6433178772682339,-0.5806097727916242,Raisin Bran,1
-0.6927332055931521,-0.0694645537914262,Raisin Nut Bran,2
0.7649721730211101,-0.1638425299971213,Raisin Squares,1
-0.051800599851606,0.204190628192963,Rice Chex,0
0.5819716248321251,-0.5279835713564475,Rice Krispies,1
0.2586243692719487,0.9247411268848292,Shredded Wheat,0
0.318005626922148,0.9265530449252468,Shredded Wheat 'n'Bran,0
0.3023176428514841,0.9129266070765274,Shredded Wheat spoon size,0
0.5706406974389898,-0.4852743785963927,Smacks,1
0.7083713816211094,-0.34531589617967,Special K,1
0.1932276695604164,0.7022896616096461,Strawberry Fruit Wheats,0
-0.7811485939188766,-0.3271205743473691,Total Corn Flakes,2
-0.7825372785435677,-0.5854193647085478,Total Raisin Bran,2
-0.7022435398934569,-0.2386859892396632,Total Whole Grain,2
-0.7533285953323008,-0.1871793572367755,Triples,2
-0.8256301939480988,-0.265389956006191,Trix,2
0.0439084849839365,0.3217203155122997,Wheat Chex,0
-0.6666944862349306,-0.050767702001103,Wheaties,2
-0.7615365366499344,-0.211262666889281,Wheaties Honey Gold,2
